# Compact pinyin → hanzi. Generated from mozillazg/pinyin-data (MIT).
a	吖呵啊嗄腌錒锕阿
tuo	他乇仛佗侂侻咃唾嘽圫坨堶
wa	佤凹劸咓哇唲啘嗗嗢坬姽娃
wai	咼喎外夞夭崴歪瀤竵顡
wan	万丸倇免刓剜卍卐唍园埦塆
wang	方亡亾仼兦匡妄尢尣尩尪尫
wei	有为于机位亹伟伪倭偉偎偽
wen	免刎匁吻呅呚呡問塭妏娩彣
weng	勜嗡塕壅奣嵡攚暡滃瓮甕瞈
wo	我仴倭偓卧咼唩喔嗌噁嚄堝
wu	物无乄乌五亡仡仵伆伍侉侮
xi	习係俙傒僖兮凞匸卌卤卥卻
xia	下丅乤侠俠假傄匣厦叚吓呀
xian	现仙仚伭佡俔僊僩僲僴先冼
xiang	想乡亨享亯佭傢像儴勨勷厢
xiao	小佼侾俏俲傚削効叟号呺呼
xie	些亵伳偕偞偰僁儶写冩劦勰
xin	心伈伩信俽噷噺囟妡姰嬜孞
xing	行侀倖兴刑哘坓型垶姓娙婞
xiong	能兄兇凶匂匈哅夐宪忷恟敻
xiu	休俢修咻嗅嚊宿岫峀庥朽樇
xu	于伃休伵余侐俆偦冔勖勗卹
xuan	亘儇券吅咺喛喧塇夐妶姰媗
xue	学乴削吷哮噱嚯坹壆學岤峃
xun	伨侚偱勋勛勲勳卂咰噀噚嚑
ya	丫乛亚亜亞伢俹劜厊压厑厓
yan	但严乵俨俺偃偐偣傿儼兖兗
yang	样仰佒佯傟养劷勜卬咉坱垟
yao	要么仸佻侥倄偠傜僥匋吆咬
ye	也业亪亱倻偞僷冶叶吔咽啘
yi	一以也已丿乁乂义乊乙亄亦
yin	因乑乚伒众侌傿冘凐印吟听
ying	俓偀僌吋呎哩哽唡啢啨営嘤
yo	哟唷喲嚛育
yong	用佣俑傛傭勇勈咏喁嗈噰埇
you	有丣亴优佑侑偤優冘卣又友
yu	于丂与乻予亏亐伃伛余俁俞
yuan	傆允元円冤剈原厡厵员咽員
yue	说乐刖哕哾噦囝块妁妜嬳岄
yun	云伝傊允勻匀员員喗囩均夽
za	偺匝咂咋咱啈啐啑喒嘁噈囃
zai	在仔傤儎再哉宰崽才扗栽洅
zan	偺儧儹兂兓咱喒噆囋寁拶揝
zang	匨塟奘弉戕牂牫羘脏臓臟臧
zao	傮凿唕唣喿噪慥早枣栆梍棗
ze	仄伬侧側则則咋唶啧嘖夨嫧
zei	戝蠈賊贼鯽鰂鱡鲗
zen	僭囎怎撍譖譛谮
zeng	増增憎曾橧熷璔甑矰磳綜縡
zha	乍偞偧册剳劄厏吒咋咤哆哳
zhai	亝侧债側債厇厏啇嚌夈宅寨
zhan	站亶佔偡儃占單噡嫸孱展崭
zhang	长丈仉仗傽墇嫜嶂帐帳幛幥
zhao	着佋佻兆召啁啅嘲垗妱巶找
zhe	这着乇乽仛厇哲啠啫喆嗻嘀
zhei	这這
zhen	侦侲偵唇圳坫塦填姫嫃寊屒
zheng	正丁丞争佂倀偵凧埥埩塣奠
zhi	之只知乿伎侄俧倁値值偫傂
zhong	中种乑仲伀众偅冢刣喠堹塚
zhou	伷侏侜倜僽冑周呪咒咮啁啄
zhu	之主丶予伫佇住侏兪劚助劯
zhua	抓挝摣撾檛爪簻膼髽
zhuai	尵拽睉跩轉转顡
zhuan	专传傳僎僝剸叀啭囀堟塼嫥
zhuang	僮壮壯壵奘妆妝娤幢庄庒憧
zhui	倕坠垂墜娷惴揣桘椎槌沝甀
zhun	准凖啍圫埻宒屯忳敦旽淳準
zhuo	着丵倬剢劅勺卓叕啄啅啜噣
zi	子自事乲仔倳兹剚吇吱呰呲
zong	从倊倧偬傯堫宗嵏嵕嵸從总
zou	偢奏媰掫揍搊族棷棸楱箃緅
zu	伹俎倅傶卆卒哫唨啐嘁姐岨
zuan	劗揝撮攢攥欑篹籑籫繤纂纉
zui	厜咀嗺嘴噿堆嫢嶉嶊嶵摧撮
zun	僎僔噂墫壿奠尊嶟拵捘捽撙
zuo	作乍佐侳做凿咗唑嘬坐岝岞
